danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
0.797,0.82,4,-5.519,0,0.317,0.463,1.46E-05,0.125,0.621,135.096,158998,44
0.664,0.714,7,-6.645,0,0.111,0.0353,8.42E-06,0.0843,0.71,101.969,197933,78
0.684,0.573,5,-12.3,1,0.0261,0.318,0.028,0.306,0.716,107.363,378947,72
0.689,0.947,1,-3.926,1,0.0897,0.00209,0,0.228,0.393,119.993,219390,45
0.424,0.937,7,-4.448,1,0.156,0.00017,0,0.31,0.427,170.058,158022,39
0.813,0.481,1,-6.71,1,0.231,0.217,0,0.0931,0.842,140.122,178286,76
0.691,0.786,8,-5.848,1,0.0274,0.00328,0,0.0898,0.637,126.038,203333,32
0.597,0.571,1,-6.205,0,0.293,0.492,0,0.093,0.165,106.196,218448,77
0.519,0.911,0,-4.522,1,0.0403,0.00265,5.63E-06,0.301,0.881,164.95,157984,53
0.869,0.616,5,-7.6,1,0.119,0.0694,0,0.225,0.705,94.023,238933,36
0.653,0.78,5,-7.253,0,0.0663,0.114,3.23E-06,0.117,0.26,179.928,204000,57
0.56,0.545,0,-6.611,0,0.0736,0.332,0.00061,0.0695,0.466,175.965,194640,47
0.57,0.783,5,-4.894,1,0.09,0.0491,0.634,0.532,0.616,159.996,180875,45
0.735,0.525,6,-2.939,0,0.0441,0.653,0.918,0.101,0.369,160.147,157777,72
0.62,0.395,1,-12.593,0,0.0777,0.844,0.00401,0.471,0.391,183.94,146739,51
0.457,0.648,7,-5.762,1,0.0552,0.0114,1.69E-05,0.212,0.736,160.021,111210,63
0.623,0.927,2,-2.869,1,0.0761,0.0015,0.00123,0.0972,0.459,103.987,170769,46
0.716,0.612,1,-6.881,1,0.044,0.0214,0.000717,0.189,0.791,147.991,221051,44
0.593,0.74,8,-6.12,1,0.0339,0.363,2.22E-05,0.102,0.502,118.008,208107,69
0.503,0.517,0,-8.505,1,0.0813,0.567,0,0.529,0.387,130.142,132963,4
0.712,0.497,4,-7.943,1,0.0639,0.513,2.52E-06,0.303,0.457,93.953,199880,57
0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166606,83
0.557,0.719,2,-4.515,0,0.0371,0.00267,0,0.306,0.345,77.502,242334,77
0.703,0.725,3,-6.814,0,0.0535,0.554,0.000344,0.15,0.71,111.948,181212,23
0.667,0.779,7,-6.711,1,0.0328,0.545,0.00104,0.158,0.604,96.061,222500,49
0.607,0.872,1,-4.858,0,0.105,0.105,0,0.333,0.831,160.014,162242,49
0.656,0.681,6,-4.282,0,0.135,0.3,0,0.246,0.68,95.959,210280,40
0.646,0.785,2,-4.801,0,0.0545,0.0377,0,0.0897,0.52,100.911,214624,33
0.521,0.345,10,-12.265,0,0.428,0.181,2.77E-05,0.0902,0.131,92.38,337240,32
0.693,0.516,8,-9.875,0,0.0463,0.202,7.67E-06,0.339,0.484,142.064,221008,44
0.671,0.771,0,-5.12,1,0.0321,0.00486,0,0.127,0.528,123.994,200338,49
0.68,0.586,1,-7.01,0,0.0567,0.0174,3.19E-06,0.128,0.196,149.968,201740,68
0.862,0.662,0,-7.19,1,0.209,0.0548,0,0.0993,0.394,131.964,177680,53
0.712,0.562,10,-6.008,1,0.129,0.125,0,0.136,0.142,140,236480,71
0.77,0.406,1,-7.365,1,0.274,0.0826,0,0.0877,0.758,170.006,189518,0
0.782,0.559,6,-7.106,0,0.0767,0.125,0,0.385,0.685,129.992,188344,82
0.417,0.624,9,-6.61,1,0.037,0.0159,0.000125,0.175,0.497,200.136,176950,46
0.609,0.569,1,-6.645,0,0.396,0.302,0.000351,0.36,0.33,104.34,153254,42
0.652,0.367,3,-9.286,0,0.049,0.618,0.000174,0.109,0.317,102.028,124706,27
0.75,0.637,1,-8.473,1,0.0673,0.303,0.0042,0.0621,0.33,139.983,185143,67
0.758,0.625,2,-6.602,1,0.0406,0.308,1.91E-05,0.135,0.452,140.884,211320,53
0.868,0.74,4,-4.181,1,0.0449,0.13,0.13,0.0951,0.979,112.022,150693,55
0.807,0.597,10,-6.517,0,0.0465,0.156,0,0.124,0.102,139.848,197799,38
0.687,0.439,2,-8.347,1,0.0426,0.502,0.000367,0.109,0.352,91.972,177400,61
0.652,0.757,1,-6.819,1,0.153,0.286,0,0.0886,0.962,159.911,233305,4
0.322,0.28,6,-9.367,0,0.0281,0.468,1.10E-06,0.102,0.175,85.794,248467,72
0.816,0.45,1,-11.571,0,0.448,0.0867,0,0.126,0.425,83.507,160589,58
0.873,0.498,1,-7.007,1,0.0497,0.0993,0.0142,0.0674,0.447,112.042,252500,47
0.724,0.531,5,-4.108,0,0.298,0.225,0,0.11,0.141,89.901,239635,66
0.851,0.596,9,-6.447,0,0.0526,0.17,0.0138,0.105,0.757,124.012,212504,40
0.726,0.535,7,-7.804,0,0.0476,0.0533,1.38E-05,0.0984,0.375,98.067,216558,66
0.785,0.744,3,-4.249,0,0.0369,0.0149,0.00666,0.0661,0.833,126.018,208863,67
0.654,0.718,7,-6.663,1,0.0425,0.0734,0.00121,0.164,0.234,90.053,237453,52
0.667,0.636,8,-5.669,1,0.082,0.022,0,0.0908,0.152,158.058,151891,63
0.852,0.404,4,-8.425,0,0.29,0.192,4.52E-06,0.111,0.242,116.909,235905,24
0.634,0.412,0,-8.697,1,0.0504,0.408,0.000884,0.108,0.15,151.946,146761,32
0.808,0.843,0,-2.624,1,0.0625,0.353,0,0.109,0.804,119.953,211680,48
0.627,0.589,0,-9.056,1,0.0405,0.497,7.05E-05,0.324,0.247,115.284,295293,73
0.807,0.693,11,-5.056,1,0.0481,0.0504,7.75E-06,0.0762,0.142,127.035,218280,60
0.871,0.466,7,-8.338,1,0.145,0.0571,0,0.15,0.683,121.045,240352,0
0.618,0.651,2,-7.286,1,0.0851,0.0229,0.000427,0.113,0.35,89.978,164672,49
0.562,0.199,9,-10.4,1,0.0574,0.918,0,0.229,0.4,134.008,174653,37
0.627,0.703,0,-4.884,1,0.236,0.563,0,0.0962,0.64,81.897,217307,67
0.687,0.441,7,-10.613,1,0.434,0.485,0,0.337,0.387,81.061,236860,54
0.744,0.661,9,-5.575,0,0.113,0.0446,1.03E-05,0.0678,0.606,109.197,176446,43
0.961,0.14,1,-12.742,1,0.59,0.333,0.00689,0.111,0.234,120.019,75546,56
0.709,0.662,5,-4.984,0,0.196,0.346,0,0.0649,0.527,141.349,155745,50
0.699,0.559,11,-6.853,1,0.0851,0.194,0,0.276,0.298,151.981,208219,46
0.725,0.649,8,-3.046,1,0.0445,0.259,2.44E-06,0.254,0.555,90,154000,50
0.446,0.861,8,-6.765,1,0.0492,0.0176,0.00433,0.149,0.646,157.84,173175,46
0.688,0.592,1,-8.759,1,0.0347,0.352,3.31E-06,0.11,0.394,149.998,193600,58
0.417,0.869,1,-6.173,1,0.103,0.00157,0,0.405,0.665,179.972,220833,63
0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,13
0.526,0.751,7,-7.573,1,0.0479,0.00517,0.000112,0.0954,0.739,163.933,163906,0
0.737,0.603,0,-3.732,0,0.0555,0.0189,7.92E-05,0.0624,0.422,130.932,181707,42
0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24E-05,0.543,0.644,118.051,215627,89
0.88,0.605,2,-8.785,1,0.129,0.0344,0,0.382,0.439,139.039,183947,51
0.744,0.638,5,-4.86,0,0.049,0.00829,0,0.182,0.48,98.019,156719,72
0.602,0.488,5,-7.628,1,0.0421,0.0203,0,0.0869,0.531,153.888,143961,50
0.848,0.666,0,-6.547,1,0.274,0.173,0.000699,0.129,0.744,96.662,251573,71
0.691,0.763,6,-7.621,0,0.105,0.16,0,0.11,0.192,97.554,169973,46
0.919,0.632,7,-7.012,1,0.107,0.109,0.0377,0.0925,0.858,138.021,172452,38
0.653,0.784,8,-5.787,1,0.0295,0.000181,0,0.712,0.607,132.026,155404,49
0.883,0.621,11,-6.063,0,0.212,0.0871,0,0.499,0.676,149.052,239702,64
0.747,0.571,11,-7.916,1,0.478,0.38,0,0.534,0.553,172.104,181933,72
0.794,0.504,6,-5.95,1,0.0588,0.00898,0,0.0997,0.362,117.931,227797,66
0.495,0.635,1,-6.815,1,0.169,0.0194,3.02E-05,0.245,0.192,89.417,187196,49
0.811,0.762,7,-5.874,0,0.071,0.143,0.000141,0.0904,0.357,121.042,149752,64
0.645,0.713,6,-5.355,1,0.0393,0.00835,0,0.113,0.566,74.989,214507,82
0.61,0.714,3,-8.518,1,0.0475,0.421,0.00131,0.126,0.453,157.967,202040,19
0.273,0.565,2,-7.283,1,0.248,0.516,1.68E-06,0.0855,0.298,179.518,235226,73
0.675,0.405,9,-7.526,1,0.122,0.101,0.00132,0.115,0.581,151.502,169986,10
0.894,0.576,1,-6.657,1,0.0882,0.0199,0.0103,0.11,0.239,132.016,130909,20
0.477,0.6,4,-6.363,1,0.0835,0.466,0,0.0688,0.486,159.975,206311,58
0.732,0.678,7,-5.866,1,0.0366,0.00412,0.000747,0.0876,0.397,157.905,99733,43
0.517,0.848,10,-4.054,1,0.0521,0.00581,0,0.214,0.429,95.906,188779,67
0.641,0.506,9,-10.866,0,0.0535,0.013,0,0.0808,0.159,124.015,272903,32
0.786,0.627,7,-7.296,1,0.166,0.328,6.92E-06,0.132,0.697,140.048,156054,60
